id,order_id,user_id,action_type,old_value,new_value,description,changes,created_at,updated_at
1,6,1,created,,,订单创建: EW000001,,2025-10-13 14:32:40.042885+00,2025-10-13 14:32:40.042885+00
2,6,1,updated,,,订单更新: inquiry_company,"{""inquiry_company"":{""old"":""新建订单"",""new"":""sd""}}",2025-10-13 14:32:51.938091+00,2025-10-13 14:32:51.938091+00
3,6,1,updated,,,订单更新: shipment_number,"{""shipment_number"":{""old"":null,""new"":""3123123""}}",2025-10-13 14:32:54.209785+00,2025-10-13 14:32:54.209785+00
4,6,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":null,""new"":""231""}}",2025-10-13 14:32:56.745613+00,2025-10-13 14:32:56.745613+00
5,6,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 14:33:08.476857+00,2025-10-13 14:33:08.476857+00
6,6,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""}}",2025-10-13 14:33:08.521977+00,2025-10-13 14:33:08.521977+00
7,7,1,created,,,订单创建: EW000002,,2025-10-13 16:22:27.061718+00,2025-10-13 16:22:27.061718+00
8,8,1,created,,,订单创建: EW000003,,2025-10-13 17:40:28.092016+00,2025-10-13 17:40:28.092016+00
9,9,26,created,,,订单创建: EW000004,,2025-10-13 17:40:49.039386+00,2025-10-13 17:40:49.039386+00
10,9,26,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 17:41:16.639658+00,2025-10-13 17:41:16.639658+00
11,9,26,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":232},""mc_number"":{""old"":null,""new"":""234""},""truck_company_name"":{""old"":null,""new"":""23""},""truck_contact"":{""old"":null,""new"":""234""}}",2025-10-13 17:41:16.687371+00,2025-10-13 17:41:16.687371+00
12,10,26,created,,,订单创建: EW000005,,2025-10-13 17:41:22.635069+00,2025-10-13 17:41:22.635069+00
13,11,1,created,,,订单创建: EW000006,,2025-10-13 17:42:12.513251+00,2025-10-13 17:42:12.513251+00
14,6,1,status_changed,ordered,completed,标记为已完成,,2025-10-13 17:47:32.953322+00,2025-10-13 17:47:32.953322+00
15,6,1,updated,,,"订单更新: status, sub_status","{""status"":{""old"":""completed"",""new"":""ordered""},""sub_status"":{""old"":null,""new"":""waiting_driver""}}",2025-10-13 17:47:43.288568+00,2025-10-13 17:47:43.288568+00
16,6,1,status_changed,completed,ordered,状态变更: completed → ordered,,2025-10-13 17:47:43.288568+00,2025-10-13 17:47:43.288568+00
20,6,26,status_changed,ordered,completed,标记为已完成,,2025-10-13 18:01:32.48752+00,2025-10-13 18:01:32.48752+00
24,9,26,order_cancelled,ordered,cancelled,订单已取消,,2025-10-13 18:17:00.483323+00,2025-10-13 18:17:00.483323+00
25,9,26,updated,,,订单更新: status,"{""status"":{""old"":""cancelled"",""new"":""ordered""}}",2025-10-13 18:17:05.496939+00,2025-10-13 18:17:05.496939+00
26,9,26,status_changed,cancelled,ordered,状态变更: cancelled → ordered,,2025-10-13 18:17:05.496939+00,2025-10-13 18:17:05.496939+00
27,9,26,claim_requested,false,true,申请索赔: qwe,,2025-10-13 18:17:15.557781+00,2025-10-13 18:17:15.557781+00
28,12,26,created,,,订单创建: EW000007,,2025-10-13 18:18:13.813612+00,2025-10-13 18:18:13.813612+00
29,12,26,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:18:26.699728+00,2025-10-13 18:18:26.699728+00
30,12,26,updated,,,"订单更新: mc_number, truck_company_name, truck_contact","{""mc_number"":{""old"":null,""new"":""qwe""},""truck_company_name"":{""old"":null,""new"":""qwe""},""truck_contact"":{""old"":null,""new"":""qwe""}}",2025-10-13 18:18:26.750698+00,2025-10-13 18:18:26.750698+00
31,11,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:19:37.086493+00,2025-10-13 18:19:37.086493+00
32,11,1,updated,,,"订单更新: mc_number, truck_company_name, truck_contact","{""mc_number"":{""old"":null,""new"":""qwe""},""truck_company_name"":{""old"":null,""new"":""qwe""},""truck_contact"":{""old"":null,""new"":""qwe""}}",2025-10-13 18:19:37.131533+00,2025-10-13 18:19:37.131533+00
33,11,26,status_changed,waiting_driver,driver_found,子状态变更：waiting_driver → driver_found,,2025-10-13 18:20:03.907884+00,2025-10-13 18:20:03.907884+00
34,11,26,order_cancelled,ordered,cancelled,订单已取消,,2025-10-13 18:20:25.067243+00,2025-10-13 18:20:25.067243+00
35,12,26,status_changed,waiting_driver,in_transit,子状态变更：waiting_driver → in_transit,,2025-10-13 18:22:03.931593+00,2025-10-13 18:22:03.931593+00
36,10,26,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:33:00.319412+00,2025-10-13 18:33:00.319412+00
37,10,26,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""}}",2025-10-13 18:33:00.409175+00,2025-10-13 18:33:00.409175+00
38,8,26,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:34:39.538157+00,2025-10-13 18:34:39.538157+00
39,7,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:44:10.0341+00,2025-10-13 18:44:10.0341+00
40,7,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":444},""mc_number"":{""old"":null,""new"":""23e4""},""truck_company_name"":{""old"":null,""new"":""234""},""truck_contact"":{""old"":null,""new"":""234""}}",2025-10-13 18:44:10.081771+00,2025-10-13 18:44:10.081771+00
41,13,1,created,,,订单创建: EW000008,,2025-10-13 18:52:29.072653+00,2025-10-13 18:52:29.072653+00
42,13,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-13 18:52:43.770334+00,2025-10-13 18:52:43.770334+00
43,13,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact, backup_driver_1_name, backup_driver_1_phone, backup_driver_2_name, backup_driver_2_phone, backup_driver_3_name, backup_driver_3_phone","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""2134""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""},""backup_driver_1_name"":{""old"":null,""new"":""123""},""backup_driver_1_phone"":{""old"":null,""new"":""123""},""backup_driver_2_name"":{""old"":null,""new"":""345""},""backup_driver_2_phone"":{""old"":null,""new"":""345""},""backup_driver_3_name"":{""old"":null,""new"":""456""},""backup_driver_3_phone"":{""old"":null,""new"":""456""}}",2025-10-13 18:52:43.817204+00,2025-10-13 18:52:43.817204+00
44,12,1,status_changed,in_transit,driver_found,子状态变更：in_transit → driver_found,,2025-10-14 02:11:24.544251+00,2025-10-14 02:11:24.544251+00
45,12,1,status_changed,driver_found,waiting_driver,子状态变更：driver_found → waiting_driver,,2025-10-14 02:11:27.402873+00,2025-10-14 02:11:27.402873+00
46,13,1,status_changed,waiting_driver,driver_found,子状态变更：waiting_driver → driver_found,,2025-10-14 02:11:31.5627+00,2025-10-14 02:11:31.5627+00
47,12,1,status_changed,waiting_driver,in_transit,子状态变更：waiting_driver → in_transit,,2025-10-14 02:11:33.602199+00,2025-10-14 02:11:33.602199+00
48,10,1,status_changed,waiting_driver,in_transit,子状态变更：waiting_driver → in_transit,,2025-10-14 02:11:40.269002+00,2025-10-14 02:11:40.269002+00
49,14,27,created,,,订单创建: EW000009,,2025-10-17 18:17:05.512177+00,2025-10-17 18:17:05.512177+00
50,15,1,created,,,订单创建: EW000010,,2025-10-24 18:47:11.740105+00,2025-10-24 18:47:11.740105+00
51,15,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-24 18:47:23.071592+00,2025-10-24 18:47:23.071592+00
52,15,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":333},""mc_number"":{""old"":null,""new"":""123123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123123""}}",2025-10-24 18:47:23.13046+00,2025-10-24 18:47:23.13046+00
53,15,1,status_changed,waiting_driver,driver_found,子状态变更：waiting_driver → driver_found,,2025-10-24 18:47:35.926839+00,2025-10-24 18:47:35.926839+00
54,16,1,created,,,订单创建: EW000011,,2025-10-24 18:51:12.811261+00,2025-10-24 18:51:12.811261+00
55,14,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-24 18:51:24.141532+00,2025-10-24 18:51:24.141532+00
56,14,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""}}",2025-10-24 18:51:24.200854+00,2025-10-24 18:51:24.200854+00
57,17,1,created,,,订单创建: EW000012,,2025-10-24 19:32:59.460145+00,2025-10-24 19:32:59.460145+00
58,17,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-24 19:33:07.762947+00,2025-10-24 19:33:07.762947+00
59,17,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""}}",2025-10-24 19:33:07.820899+00,2025-10-24 19:33:07.820899+00
60,16,1,status_changed,quote,ordered,确认下单：waiting_driver,,2025-10-24 20:01:49.88611+00,2025-10-24 20:01:49.88611+00
61,16,1,updated,,,"订单更新: truck_payment, mc_number, truck_company_name, truck_contact","{""truck_payment"":{""old"":null,""new"":123},""mc_number"":{""old"":null,""new"":""123""},""truck_company_name"":{""old"":null,""new"":""123""},""truck_contact"":{""old"":null,""new"":""123""}}",2025-10-24 20:01:49.940832+00,2025-10-24 20:01:49.940832+00
62,6,1,updated,,,"订单更新: status, sub_status","{""status"":{""old"":""completed"",""new"":""ordered""},""sub_status"":{""old"":null,""new"":""waiting_driver""}}",2025-10-25 13:56:01.949289+00,2025-10-25 13:56:01.949289+00
63,6,1,status_changed,completed,ordered,状态变更: completed → ordered,,2025-10-25 13:56:01.949289+00,2025-10-25 13:56:01.949289+00
64,6,1,updated,,,"订单更新: status, sub_status, truck_payment, mc_number, truck_company_name, truck_contact","{""status"":{""old"":""ordered"",""new"":""quote""},""sub_status"":{""old"":""waiting_driver"",""new"":null},""truck_payment"":{""old"":""123.00"",""new"":null},""mc_number"":{""old"":""123"",""new"":null},""truck_company_name"":{""old"":""123"",""new"":null},""truck_contact"":{""old"":""123"",""new"":null}}",2025-10-25 13:56:09.430071+00,2025-10-25 13:56:09.430071+00
65,6,1,status_changed,ordered,quote,状态变更: ordered → quote,,2025-10-25 13:56:09.430071+00,2025-10-25 13:56:09.430071+00
66,6,1,updated,,,订单更新: inquiry_company,"{""inquiry_company"":{""old"":""sd"",""new"":""EW""}}",2025-10-25 13:56:19.162634+00,2025-10-25 13:56:19.162634+00
67,6,1,updated,,,订单更新: shipment_number,"{""shipment_number"":{""old"":""3123123"",""new"":""Test""}}",2025-10-25 13:56:29.575344+00,2025-10-25 13:56:29.575344+00
68,6,1,updated,,,订单更新: shipment_number,"{""shipment_number"":{""old"":""Test"",""new"":""Shipping123""}}",2025-10-25 13:56:42.783779+00,2025-10-25 13:56:42.783779+00
69,6,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":""231"",""new"":""测试砖块""}}",2025-10-25 13:57:01.304136+00,2025-10-25 13:57:01.304136+00
70,6,1,updated,,,订单更新: origin_address,"{""origin_address"":{""old"":null,""new"":""45 Patrick Ave, UNIT B Edison, NJ 08837""}}",2025-10-25 13:57:36.603583+00,2025-10-25 13:57:36.603583+00
