id,permission_key,permission_name,description,category,created_at,updated_at
1,order.view.own,查看自己的订单,员工可以查看自己创建或负责的订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
2,order.view.all,查看所有订单,可以查看系统中的所有订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
3,order.create,创建订单,可以创建新订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
4,order.edit.own,编辑自己的订单,可以编辑自己创建或负责的订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
5,order.edit.all,编辑所有订单,可以编辑任何订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
6,order.delete.own,删除自己的订单,可以删除自己创建的订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
7,order.delete.all,删除所有订单,可以删除任何订单,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
8,order.assign,分配订单,可以将订单分配给其他员工,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
9,order.export,导出订单数据,可以导出订单数据,order,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
10,customer.view,查看客户信息,可以查看客户详细信息,customer,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
11,customer.edit,编辑客户信息,可以编辑客户资料,customer,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
12,employee.view,查看员工列表,可以查看员工信息,employee,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
13,employee.manage,管理员工,可以添加、编辑、删除员工及设置权限,employee,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
14,report.view.own,查看个人报表,可以查看自己的业绩报表,report,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
15,report.view.all,查看所有报表,可以查看所有员工的报表,report,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
16,system.settings,系统设置,可以修改系统配置,system,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
17,system.logs,查看系统日志,可以查看系统操作日志,system,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
