id,role,permission_id,created_at,updated_at
1,employee,1,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
2,employee,3,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
3,employee,4,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
4,employee,6,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
5,employee,10,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
6,employee,14,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
7,manager,1,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
8,manager,3,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
9,manager,4,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
10,manager,6,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
11,manager,10,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
12,manager,14,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
13,manager,2,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
14,manager,5,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
15,manager,8,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
16,manager,9,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
17,manager,11,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
18,manager,12,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
19,manager,15,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
20,admin,1,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
21,admin,2,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
22,admin,3,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
23,admin,4,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
24,admin,5,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
25,admin,6,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
26,admin,7,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
27,admin,8,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
28,admin,9,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
29,admin,10,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
30,admin,11,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
31,admin,12,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
32,admin,13,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
33,admin,14,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
34,admin,15,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
35,admin,16,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
36,admin,17,2025-10-03 20:24:58.533296+00,2025-10-03 20:24:58.533296+00
37,employee,2,2025-10-13 17:51:54.910386+00,2025-10-13 17:51:54.910386+00
