id,name,batch,migration_time
1,001_create_users_table.js,1,2025-07-29 13:30:40.875+00
2,002_create_land_freight_tables.js,1,2025-07-29 13:30:41.547+00
3,003_create_companies_table.js,1,2025-07-29 13:30:41.841+00
4,004_create_jobs_table.js,1,2025-07-29 13:30:42.12+00
5,005_create_resumes_table.js,1,2025-07-29 13:30:42.397+00
6,006_add_user_management_system.js,1,2025-07-29 13:30:44.416+00
8,008_insert_system_default_config.js,2,2025-07-29 14:57:13.187424+00
9,009_create_sale.js,3,2025-08-14 15:09:34.257+00
12,010_create_fba_comments_tables.js,6,2025-09-03 20:53:24.745422+00
13,011_import_fba_locations_data.js,6,2025-09-03 20:53:24.745422+00
14,012_create_fba_exchanges_table.js,6,2025-09-03 20:53:24.745422+00
15,013_cognito_user_integration.js,7,2025-09-03 20:53:32.601+00
18,014_create_employee_system.js,8,2025-10-03 20:25:01.427+00
19,015_insert_employee_permissions.js,8,2025-10-03 20:25:01.547+00
20,016_redesign_broker_orders.js,9,2025-10-11 20:06:28.169551+00
21,20251004181414_add_claim_status.js,9,2025-10-11 20:07:04.331606+00
25,017_create_customers_table.js,10,2025-11-08 17:17:06.16+00
26,018_create_rentals.js,10,2025-11-08 17:17:06.214+00
27,019_add_rental_sale_post_costs.js,10,2025-11-08 17:17:06.371+00
