id,user_id,post_type,post_id,premium_type,credits_cost,start_time,end_time,is_active,created_at,updated_at
1,1,truck,2,top,50,2025-07-29 14:58:37.534+00,2025-07-30 14:58:37.534+00,t,2025-07-29 14:58:37.520311+00,2025-07-29 14:58:37.520311+00
2,1,truck,3,top,250,2025-07-30 17:55:00.205+00,2025-08-06 17:55:00.205+00,t,2025-07-30 17:55:00.182067+00,2025-07-30 17:55:00.182067+00
3,1,company,1,top,50,2025-08-06 13:14:50.998+00,2025-08-07 13:14:50.998+00,t,2025-08-06 13:14:50.988019+00,2025-08-06 13:14:50.988019+00
4,1,truck,4,top,50,2025-08-09 14:24:10.228+00,2025-08-10 14:24:10.228+00,t,2025-08-09 14:24:10.212898+00,2025-08-09 14:24:10.212898+00
5,1,load,2,top,50,2025-08-09 17:16:16.392+00,2025-08-10 17:16:16.392+00,t,2025-08-09 17:16:16.384808+00,2025-08-09 17:16:16.384808+00
6,1,load,3,top,50,2025-08-12 13:21:06.82+00,2025-08-13 13:21:06.82+00,t,2025-08-12 13:21:06.803772+00,2025-08-12 13:21:06.803772+00
7,1,job,1,top,50,2025-08-12 19:48:15.239+00,2025-08-13 19:48:15.239+00,t,2025-08-12 19:48:15.23302+00,2025-08-12 19:48:15.23302+00
8,1,resume,1,top,50,2025-08-12 19:49:19.209+00,2025-08-13 19:49:19.209+00,t,2025-08-12 19:49:19.202021+00,2025-08-12 19:49:19.202021+00
9,1,load,4,top,50,2025-08-16 16:16:45.825+00,2025-08-17 16:16:45.825+00,t,2025-08-16 16:16:45.813265+00,2025-08-16 16:16:45.813265+00
10,20,load,5,top,50,2025-09-04 14:07:19.649+00,2025-09-05 14:07:19.649+00,t,2025-09-04 14:07:19.636023+00,2025-09-04 14:07:19.636023+00
11,22,load,6,top,250,2025-09-05 18:22:46.423+00,2025-09-12 18:22:46.423+00,t,2025-09-05 18:22:46.407165+00,2025-09-05 18:22:46.407165+00
12,24,load,7,top,50,2025-10-03 17:51:44.127+00,2025-10-04 17:51:44.127+00,t,2025-10-03 17:51:44.10834+00,2025-10-03 17:51:44.10834+00
15,28,job,3,highlight,30,2025-11-18 16:03:57.281+00,2025-11-19 16:03:57.281+00,t,2025-11-18 16:03:57.272221+00,2025-11-18 16:03:57.272221+00
17,28,job,4,top,250,2025-11-18 17:29:09.243+00,2025-11-25 17:29:09.243+00,t,2025-11-18 17:29:09.235595+00,2025-11-18 17:29:09.235595+00
26,28,resume,3,top,250,2025-11-18 19:46:57.277+00,2025-11-25 19:46:57.277+00,f,2025-11-18 19:46:57.269498+00,2025-11-18 19:46:57.269498+00
25,28,resume,2,highlight,30,2025-11-18 19:46:34.66+00,2025-11-19 19:46:34.66+00,f,2025-11-18 19:46:34.652989+00,2025-11-18 19:46:34.652989+00
27,28,company,2,highlight,30,2025-11-18 20:20:51.811+00,2025-11-19 20:20:51.811+00,f,2025-11-18 20:20:51.803045+00,2025-11-18 20:20:51.803045+00
