id,config_key,config_value,description,data_type,created_at,updated_at
1,post_costs.load,10,发布货源信息消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
2,post_costs.truck,10,发布车源信息消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
3,post_costs.company,20,发布企业信息消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
4,post_costs.job,15,发布职位信息消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
5,post_costs.resume,5,发布简历信息消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
6,premium_costs.top_24h,50,置顶24小时消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
7,premium_costs.top_72h,120,置顶72小时消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
8,premium_costs.top_168h,250,置顶7天消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
9,premium_costs.highlight,30,高亮显示消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
10,premium_costs.urgent,20,紧急标记消费积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
11,user_registration_bonus,500,用户注册奖励积分,number,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
12,recharge_rates,"{""100"": 10, ""500"": 45, ""1000"": 85, ""2000"": 160, ""5000"": 380}",充值积分比例 {积分数量: 价格},json,2025-07-29 14:56:57.906521+00,2025-07-29 14:56:57.906521+00
13,post_costs.rental,12,发布租赁信息消费积分,number,2025-08-14 17:28:14.896158+00,2025-08-14 17:28:14.896158+00
14,post_costs.sale,8,发布出售信息消费积分,number,2025-08-14 17:28:14.896158+00,2025-08-14 17:28:14.896158+00
