id,user_id,type,amount,balance_after,description,reference_type,reference_id,created_at,updated_at
1,1,earn,500,600,充值 $45 获得 500 积分,recharge,,2025-07-29 14:57:33.037161+00,2025-07-29 14:57:33.037161+00
2,1,spend,-10,590,发布车源信息,truck,2,2025-07-29 14:58:37.511044+00,2025-07-29 14:58:37.511044+00
3,1,spend,-50,540,置顶 - 车源信息,premium_truck,2,2025-07-29 14:58:37.525558+00,2025-07-29 14:58:37.525558+00
4,2,spend,-10,90,发布货源信息,load,1,2025-07-29 15:47:23.890925+00,2025-07-29 15:47:23.890925+00
5,1,earn,500,1040,充值 $45 获得 500 积分,recharge,,2025-07-29 18:00:23.071872+00,2025-07-29 18:00:23.071872+00
6,1,spend,-10,1030,发布车源信息,truck,3,2025-07-30 17:55:00.172445+00,2025-07-30 17:55:00.172445+00
7,1,spend,-250,780,置顶 - 车源信息,premium_truck,3,2025-07-30 17:55:00.195217+00,2025-07-30 17:55:00.195217+00
8,1,spend,-20,760,发布企业信息,company,1,2025-08-06 13:14:50.97862+00,2025-08-06 13:14:50.97862+00
9,1,spend,-50,710,置顶 - 企业信息,premium_company,1,2025-08-06 13:14:50.991748+00,2025-08-06 13:14:50.991748+00
10,1,spend,-10,700,发布车源信息,truck,4,2025-08-09 14:24:10.201559+00,2025-08-09 14:24:10.201559+00
11,1,spend,-50,650,置顶 - 车源信息,premium_truck,4,2025-08-09 14:24:10.218483+00,2025-08-09 14:24:10.218483+00
12,1,spend,-10,640,发布货源信息,load,2,2025-08-09 17:16:16.37716+00,2025-08-09 17:16:16.37716+00
13,1,spend,-50,590,置顶 - 货源信息,premium_load,2,2025-08-09 17:16:16.388286+00,2025-08-09 17:16:16.388286+00
14,1,spend,-10,580,发布货源信息,load,3,2025-08-12 13:21:06.795423+00,2025-08-12 13:21:06.795423+00
15,1,spend,-50,530,置顶 - 货源信息,premium_load,3,2025-08-12 13:21:06.807686+00,2025-08-12 13:21:06.807686+00
16,1,spend,-15,515,发布职位信息,job,1,2025-08-12 19:48:15.227201+00,2025-08-12 19:48:15.227201+00
17,1,spend,-50,465,置顶 - 职位信息,premium_job,1,2025-08-12 19:48:15.235623+00,2025-08-12 19:48:15.235623+00
18,1,spend,-5,460,发布简历信息,resume,1,2025-08-12 19:49:19.197221+00,2025-08-12 19:49:19.197221+00
19,1,spend,-50,410,置顶 - 简历信息,premium_resume,1,2025-08-12 19:49:19.204828+00,2025-08-12 19:49:19.204828+00
20,1,spend,-10,400,发布货源信息,load,4,2025-08-16 16:16:45.801038+00,2025-08-16 16:16:45.801038+00
21,1,spend,-50,350,置顶 - 货源信息,premium_load,4,2025-08-16 16:16:45.818379+00,2025-08-16 16:16:45.818379+00
22,20,earn,500,600,充值 $45 获得 500 积分,recharge,,2025-09-04 14:06:26.628283+00,2025-09-04 14:06:26.628283+00
23,20,spend,-10,590,发布货源信息,load,5,2025-09-04 14:07:19.627736+00,2025-09-04 14:07:19.627736+00
24,20,spend,-50,540,置顶 - 货源信息,premium_load,5,2025-09-04 14:07:19.641029+00,2025-09-04 14:07:19.641029+00
25,22,earn,500,600,充值 $45 获得 500 积分,recharge,,2025-09-05 18:21:18.822883+00,2025-09-05 18:21:18.822883+00
26,22,spend,-10,590,发布货源信息,load,6,2025-09-05 18:22:46.39749+00,2025-09-05 18:22:46.39749+00
27,22,spend,-250,340,置顶 - 货源信息,premium_load,6,2025-09-05 18:22:46.413388+00,2025-09-05 18:22:46.413388+00
28,22,earn,500,840,充值 $45 获得 500 积分,recharge,,2025-09-08 16:18:27.17914+00,2025-09-08 16:18:27.17914+00
29,24,earn,500,600,充值 $45 获得 500 积分,recharge,,2025-10-03 15:38:55.928868+00,2025-10-03 15:38:55.928868+00
30,24,earn,500,1100,充值 $45 获得 500 积分,recharge,,2025-10-03 16:40:59.263642+00,2025-10-03 16:40:59.263642+00
31,24,spend,-10,1090,发布货源信息,load,7,2025-10-03 17:51:44.100191+00,2025-10-03 17:51:44.100191+00
32,24,spend,-50,1040,置顶 - 货源信息,premium_load,7,2025-10-03 17:51:44.113607+00,2025-10-03 17:51:44.113607+00
33,1,earn,500,850,充值 $45 获得 500 积分,recharge,,2025-10-11 20:14:00.477393+00,2025-10-11 20:14:00.477393+00
34,1,spend,-15,835,发布职位信息,job,2,2025-11-08 16:55:45.247036+00,2025-11-08 16:55:45.247036+00
35,1,spend,-12,823,发布rental,rental,1,2025-11-08 19:56:53.748591+00,2025-11-08 19:56:53.748591+00
36,1,spend,-8,815,发布sale,sale,1,2025-11-08 19:57:43.058929+00,2025-11-08 19:57:43.058929+00
37,1,spend,-50,765,置顶 - sale,premium_sale,1,2025-11-08 19:57:43.071719+00,2025-11-08 19:57:43.071719+00
38,1,spend,-12,753,发布rental,rental,2,2025-11-08 20:13:03.443333+00,2025-11-08 20:13:03.443333+00
39,1,spend,-50,703,置顶 - rental,premium_rental,2,2025-11-08 20:13:03.483066+00,2025-11-08 20:13:03.483066+00
40,1,spend,-12,691,发布rental,rental,3,2025-11-08 21:08:47.939233+00,2025-11-08 21:08:47.939233+00
41,1,spend,-12,679,发布rental,rental,4,2025-11-08 21:33:12.589131+00,2025-11-08 21:33:12.589131+00
